"country","year","cpicss"
"Israel",1935,0.0811
"Israel",1936,0.0867
"Israel",1937,0.087
"Israel",1938,0.0879
"Israel",1939,0.0941
"Israel",1940,0.1134
"Israel",1941,0.1528
"Israel",1942,0.1959
"Israel",1943,0.2134
"Israel",1944,0.2312
"Israel",1945,0.2428
"Israel",1946,0.251
"Israel",1947,0.2725
"Israel",1948,0.3605
"Israel",1949,0.317
"Israel",1950,0.32
"Israel",1951,0.3769
"Israel",1952,0.627
"Israel",1953,0.7468
"Israel",1954,0.8031
"Israel",1955,0.8419
"Israel",1956,0.8806
"Israel",1957,0.9264
"Israel",1958,0.9652
"Israel",1959,0.9853
"Israel",1960,1.0192
"Israel",1961,1.1113
"Israel",1962,1.2248
"Israel",1963,1.2859
"Israel",1964,1.3431
"Israel",1965,1.4382
"Israel",1966,1.5505
"Israel",1967,1.5531
"Israel",1968,1.5832
"Israel",1969,1.6446
"Israel",1970,1.8107
"Israel",1971,2.053
"Israel",1972,2.3066
"Israel",1973,2.9165
"Israel",1974,4.5549
"Israel",1975,5.6261
"Israel",1976,7.7654
"Israel",1977,11.069
"Israel",1978,16.3975
"Israel",1979,34.6619
"Israel",1980,80.745
"Israel",1981,162.6902
"Israel",1982,376.6336
"Israel",1983,1094.8445
"Israel",1984,5.9655649
"Israel",1985,17.0122988
"Israel",1986,20.3526699
"Israel",1987,23.6345527
"Israel",1988,27.5162539
"Israel",1989,33.2100352
"Israel",1990,39.0589023
"Israel",1991,46.1041289
"Israel",1992,50.4243086
"Israel",1993,56.0959375
"Israel",1994,64.2031953
"Israel",1995,69.4059609
"Israel",1996,76.7542031
"Israel",1997,82.1178672
"Israel",1998,89.1979297
"Israel",1999,90.3964922
"Israel",2000,90.3964922
"Israel",2001,91.6705234
"Israel",2002,97.6255
"Israel",2003,95.7841484
"Israel",2004,96.9404922
"Israel",2005,99.2531953
"Israel",2006,99.1568281
"Israel",2007,102.5
"Israel",2008,106.4
"Israel",2009,105.2
"Israel",2010,108
"Israel",2011,104
"Israel",2012,100.5
"Israel",2013,102.3
"Israel",2014,102.1
"Israel",2015,99.1
"Israel",2016,98.9
"Malaysia",1948,17.0357714
"Malaysia",1949,16.6300952
"Malaysia",1950,20.2888038
"Malaysia",1951,23.6148229
"Malaysia",1952,22.2844152
"Malaysia",1953,21.9518133
"Malaysia",1954,20.6214057
"Malaysia",1955,20.346019
"Malaysia",1956,21.0168305
"Malaysia",1957,21.6316533
"Malaysia",1958,21.1285448
"Malaysia",1959,20.9959771
"Malaysia",1960,20.8832114
"Malaysia",1961,20.7929638
"Malaysia",1962,20.8832114
"Malaysia",1963,21.8078552
"Malaysia",1964,21.5145943
"Malaysia",1965,21.5145943
"Malaysia",1966,21.7852495
"Malaysia",1967,23.0030667
"Malaysia",1968,22.3490781
"Malaysia",1969,22.8451771
"Malaysia",1970,22.9805486
"Malaysia",1971,23.6345371
"Malaysia",1972,24.4915391
"Malaysia",1973,28.9342629
"Malaysia",1974,32.4073067
"Malaysia",1975,32.7681219
"Malaysia",1976,34.0084571
"Malaysia",1977,35.8351391
"Malaysia",1978,37.2333638
"Malaysia",1979,39.1954171
"Malaysia",1980,41.9918667
"Malaysia",1981,45.54736
"Malaysia",1982,48.0574705
"Malaysia",1983,49.5554933
"Malaysia",1984,50.4057486
"Malaysia",1985,50.9320762
"Malaysia",1986,51.6608038
"Malaysia",1987,51.8632038
"Malaysia",1988,53.6851543
"Malaysia",1989,54.8187695
"Malaysia",1990,56.6585067
"Malaysia",1991,59.0470019
"Malaysia",1992,61.9354514
"Malaysia",1993,64.0462819
"Malaysia",1994,67.4630743
"Malaysia",1995,69.6542514
"Malaysia",1996,71.9780838
"Malaysia",1997,74.0365181
"Malaysia",1998,77.9541409
"Malaysia",1999,79.8797448
"Malaysia",2000,80.8411886
"Malaysia",2001,81.8026324
"Malaysia",2002,83.1646705
"Malaysia",2003,84.1261143
"Malaysia",2004,85.8887467
"Malaysia",2005,88.9333333
"Malaysia",2006,91.6495238
"Malaysia",2007,93.84
"Malaysia",2008,97.9580952
"Malaysia",2009,99.0095238
"Malaysia",2010,101.2
"Malaysia",2011,104.2
"Malaysia",2012,105.5
"Malaysia",2013,108.9
"Malaysia",2014,111.8
"Malaysia",2015,114.8
"Malaysia",2016,116.9
"Peru",1900,2.05206
"Peru",1901,2.21007
"Peru",1902,1.79016
"Peru",1903,2.02645
"Peru",1904,2.10549
"Peru",1905,2.76451
"Peru",1906,2.79215
"Peru",1907,2.8452
"Peru",1908,2.97609
"Peru",1909,2.55348
"Peru",1910,2.49986
"Peru",1911,2.57985
"Peru",1912,2.34251
"Peru",1913,2.63298
"Peru",1914,2.73895
"Peru",1915,2.95089
"Peru",1916,3.24435
"Peru",1917,3.7416
"Peru",1918,4.32036
"Peru",1919,4.95619
"Peru",1920,5.53496
"Peru",1921,5.2415
"Peru",1922,5.0051
"Peru",1923,4.74425
"Peru",1924,4.9725
"Peru",1925,5.38823
"Peru",1926,5.16813
"Peru",1927,4.80946
"Peru",1928,4.58937
"Peru",1929,4.54046
"Peru",1930,4.2633
"Peru",1931,4.01875
"Peru",1932,3.93724
"Peru",1933,3.88833
"Peru",1934,3.93724
"Peru",1935,4.07582
"Peru",1936,4.25515
"Peru",1937,4.57307
"Peru",1938,4.39373
"Peru",1939,4.59752
"Peru",1940,5.02141
"Peru",1941,5.55126
"Peru",1942,6.03221
"Peru",1943,6.77401
"Peru",1944,7.65438
"Peru",1945,8.494
"Peru",1946,9.42329
"Peru",1947,13.75995
"Peru",1948,15.61853
"Peru",1949,18.53681
"Peru",1950,20.26496
"Peru",1951,21.83007
"Peru",1952,23.32997
"Peru",1953,25.41679
"Peru",1954,26.61508
"Peru",1955,27.86228
"Peru",1956,29.59858
"Peru",1957,31.91364
"Peru",1958,34.81562
"Peru",1959,40.61958
"Peru",1960,41.62223
"Peru",1961,45.28232
"Peru",1962,47.55662
"Peru",1963,51.71395
"Peru",1964,57.51791
"Peru",1965,66.09343
"Peru",1966,71.13929
"Peru",1967,84.50797
"Peru",1968,92.83894
"Peru",1969,98.1375
"Peru",1970,103.68061
"Peru",1971,111.62845
"Peru",1972,116.42161
"Peru",1973,132.43956
"Peru",1974,157.79929
"Peru",1975,195.63917
"Peru",1976,283.04911
"Peru",1977,374.87725
"Peru",1978,651.11975
"Peru",1979,1079.01521
"Peru",1980,1.7347325
"Peru",1981,2.9957899
"Peru",1982,5.181218
"Peru",1983,11.6614964
"Peru",1984,24.6591593
"Peru",1985,63.6839885
"Peru",1986,103.740105
"Peru",1987,222.5575988
"Peru",1988,4055.120044
"Peru",1989,116.5967243
"Peru",1990,9035.925828
"Peru",1991,21.6165651
"Peru",1992,33.8803114
"Peru",1993,47.2561563
"Peru",1994,54.5274085
"Peru",1995,60.1045766
"Peru",1996,67.2209558
"Peru",1997,71.5654649
"Peru",1998,75.864254
"Peru",1999,78.6912623
"Peru",2000,81.629779
"Peru",2001,81.5258222
"Peru",2002,82.7616232
"Peru",2003,84.817221
"Peru",2004,87.7697765
"Peru",2005,89.0813093
"Peru",2006,90.0945717
"Peru",2007,93.6331976
"Peru",2008,99.8599741
"Peru",2009,100.1049725
"Peru",2010,102.18
"Peru",2011,107
"Peru",2012,109.9
"Peru",2013,116.6
"Peru",2014,116.6
"Peru",2015,121.78
"Peru",2016,125.72
"Romania",1914,1.8881746
"Romania",1921,22.053879
"Romania",1922,38.084481
"Romania",1923,48.8281943
"Romania",1924,58.1557767
"Romania",1925,63.8203004
"Romania",1926,70.9953638
"Romania",1927,75.0171756
"Romania",1928,80.0019565
"Romania",1929,80.2474191
"Romania",1930,76.47107
"Romania",1931,65.8856891
"Romania",1932,57.8873184
"Romania",1933,54.1848084
"Romania",1934,53.9
"Romania",1935,61.4
"Romania",1936,61.1
"Romania",1937,73
"Romania",1938,75.5
"Romania",1939,95.3015625
"Romania",1940,135.8929688
"Romania",1941,189.4265625
"Romania",1970,0.0256
"Romania",1971,0.0257
"Romania",1972,0.0257
"Romania",1973,0.0259
"Romania",1974,0.0262
"Romania",1975,0.0263
"Romania",1976,0.0264
"Romania",1977,0.0266
"Romania",1978,0.027
"Romania",1979,0.0275
"Romania",1980,0.0281
"Romania",1981,0.029
"Romania",1982,0.0342
"Romania",1983,0.0356
"Romania",1984,0.0359
"Romania",1985,0.0362
"Romania",1986,0.0366
"Romania",1987,0.0369
"Romania",1988,0.0377
"Romania",1989,0.0381
"Romania",1990,0.055
"Romania",1991,0.1775
"Romania",1992,0.5283
"Romania",1993,2.0904
"Romania",1994,3.3809
"Romania",1995,4.3189
"Romania",1996,6.48
"Romania",1997,16.3
"Romania",1998,22.91
"Romania",1999,35.47
"Romania",2000,52.2147
"Romania",2001,65.03
"Romania",2002,76.61
"Romania",2003,87.45
"Romania",2004,95.56
"Romania",2005,108.6
"Romania",2006,113.94
"Romania",2007,116.25
"Romania",2008,123.66
"Romania",2009,129.47
"Romania",2010,139.76
"Romania",2011,144.2
"Romania",2012,150.78
"Romania",2013,152.77
"Romania",2014,154.35
"Romania",2015,153.3
"Romania",2016,153.17
"Slovakia",1963,16.986
"Slovakia",1964,17.1611
"Slovakia",1965,17.1611
"Slovakia",1966,17.3362
"Slovakia",1967,17.4552
"Slovakia",1968,17.8121
"Slovakia",1969,18.096
"Slovakia",1970,18.1673
"Slovakia",1971,18.0424
"Slovakia",1972,17.8068
"Slovakia",1973,17.8173
"Slovakia",1974,17.9423
"Slovakia",1975,18.0675
"Slovakia",1976,18.1925
"Slovakia",1977,18.6036
"Slovakia",1978,18.8717
"Slovakia",1979,19.9439
"Slovakia",1980,20.0154
"Slovakia",1981,20.2656
"Slovakia",1982,21.1591
"Slovakia",1983,21.3557
"Slovakia",1984,21.8382
"Slovakia",1985,22.0894
"Slovakia",1986,22.2093
"Slovakia",1987,22.1893
"Slovakia",1988,22.413
"Slovakia",1989,22.7452
"Slovakia",1990,26.931
